Título De La Obra;A.K.A;Estilo;Técnica;Zona Mab;Lugar De Intervención;URL Imagen;Descripción;
Original Knowledge;Skem;;Aerosol;Calle 80 - Beca Hap Pequeño Formato;Parque Simón Bolívar;https://idartesencasa.gov.co/sites/default/files/2023-09/03_CLL80_BECA_HAP_PEQUEN%CC%83O_FORMATO_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Estilo Natural;Wiest;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Avenida Calle 86 No. 78-20 Costado Sur Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/26_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Renovación;Stoika;Ilustración;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Carrera 86 - Diagonal 82 Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/29_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Trino De Asfalto;Sywek;Writing;Aerosol;Carrera 13 - Punto 1;Carrera 13 No. 64 - 68;https://idartesencasa.gov.co/sites/default/files/2023-10/27_KRA13_P1_%20CATALOGO_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Los Astros Anuncian;Sony;Writting;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/55_KRA13_P2_CATALOGO_FOTO_BAJA_GARETH_SELLA.jpg;;
Fuerte Y Poderosa;Monaprisma;Aerosol / Ilustración;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/26_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Pintando Hongos;Kno Delix;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/12_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Amantes De Letras;Whoner;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/9_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Ritmo Nocturno;Roy Ritmo;Muralismo;Vinilo;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/8_CLL26_P1_C_RITMO_NOCTURNO_ROY_RITMO_DAVID_PATARROYO..jpg;;
Somos Los Que Nos Calla;Deimos;Tipografía;Aerosol;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/12_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
El Disfrute De La 26;Tonra;Ilustración;Vinilo;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/2_PUNTO_3_FOTOS_CATALOGO_BAJA_OSCAR_MARTINEZ.jpg;;
A Tiempo;Ars;Muralismo;Aerosol;Calle 26 - Punto 4;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/02_CLL26_P4_CAT_FOTO_BAJA_ALEJANDRO_LOZANO.jpg;;
Justicia Animal;Sagara;Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5;https://idartesencasa.gov.co/sites/default/files/2023-11/06_KR7_MARATON_WEB_PRODUCCION_2_DAVID_PATARROYO.jpg;;
Poder;Gixxy;Caracter;Aerosol Y Vinilo;Carrera 7 - Tramo 1;Calle 26 Con Carrera 7 -  Costado Occidental Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/02_KR7_MARATON_WEB_PRODUCCION_12_DIEGO_ANDRADE%20Large.jpeg;;
Fragmentos;Kham;Ilustración;Aerosol;Carrera 7 - Tramo 4;Calle 26 Con Carrera 10 - Costado Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/13_KR7_MARATON_WEB_PRODUCCION_15_JOHN_ACHIARDI%20Large.jpeg;;
Herencia Precolombina / Moss;Sml Uno /Moss One;Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 5;Calle 26 Carrera 7 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/02_KR7_MARATON_WEB_PRODUCCION_8_GARETH_SELLA%20Large.jpeg;;
Sin Título;Aneb;Ilustración;Aerosol;Calle 26 - Festival Periferia;Calle 26;https://idartesencasa.gov.co/sites/default/files/2023-12/2_CLL26_FAU_PERIFERIA_ENTREGAS_FOTO_BAJA_DAVID_PATARROYO.JPG;;
Sin Título;Nomac;Writing;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/02_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Maestros Del Territorio;Tonra;Muralismo;Vinilo / Aerosol;Carrera 7 - Salsa Al Parque Y Joropo Al Parque;Carrera 7;https://idartesencasa.gov.co/sites/default/files/2024-01/8%20_KR7_FEST_AL_PARQUE_CAT_BAJA_OSCAR_MARTINEZ.jpg;;
Semillas;Mr Garek;Realismo;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental;https://idartesencasa.gov.co/sites/default/files/2023-09/05_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Monjita Del Pantano;Loop;Writting Y Caracter;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/02_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Los Astros Anuncian;Krecer;Muralismo;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/27_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
El Mono;Ocre;Ilustración;Aerosol / Vinilo;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/5_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Nuestra Naturaleza;Lukas;Ilustración / Mural;Aerosol;Carrera 10 - Punto 7;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/40_CLL26_P7_ENTREGA_FOTO_BAJA_JOHN_ACHIARDI.jpg;;
Tercera Dimensión;Dups;;Aerosol / Vinilo;Carrera 10 - Punto 5;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/23_CALL26_P5_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Style Chrome;Señor;;Aerosol / Vinilo;Carrera 10 - Punto 4;Carrera 10 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/21_CALL26_P4_CAT_FOTO_BAJA_CARLOS_ROMERO.jpg;;
Artesanos;Odink;Muralismo;Aerosol;Calle 26 - Punto 1 - Primera Maraton;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/19_CLL26_P1_C_ARTESANOS_ODINK_DAVID_PATARROYOpsd.jpg;;
Tiempo;Weks;Writing;Vinilo;Calle 26 - Punto 2;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/22_CALL26_P2_CAT_FOTO_BAJA_CRISTHIAN_PEREZ.jpg;;
Máscaras;Plasma;Ilustración;Vinilo;Calle 26 - Punto 3;Calle 26 - Centro;https://idartesencasa.gov.co/sites/default/files/2023-10/13_PUNTO_3_FOTOS_CATALOGO_BAJA_OSCAR_MARTINEZ.jpg;;
Nick Trip;Babakid;Ilustración;Vinilo;Carrera 7 - Tramo 5;Calle 26 Con Carrera 5 - Sentido Occidente Oriente Sur;https://idartesencasa.gov.co/sites/default/files/2023-11/02_KR7_MARATON_WEB_PRODUCCION_4_DAVID_PATARROYO_1.jpg;;
Killa Beez;Sebusk;Writing;Aerosol Y Vinilo;Carrera 7 - Tramo 3;Calle 26 Con Carrera 14 - Costado Norte;https://idartesencasa.gov.co/sites/default/files/2023-11/02_KR7_MARATON_WEB_PRODUCCION_18_ALEJANDRO_LOZANO%20Large_0.jpeg;;
Onca;Onca;Muralismo E Ilustración;Aerosol Y Vinilo;Carrera 7 - Tramo 2;Calle 26 Con Carrera 13;https://idartesencasa.gov.co/sites/default/files/2023-11/01_KR7_MARATON_WEB_PRODUCCION_17_VICTOR_CALIXTO%20Large.jpeg;;
Vista General;Varios Artistas;;;Carrera 10 - Punto 7;Corredor - Carrera 10 - Punto 7;https://idartesencasa.gov.co/sites/default/files/2023-12/06_KR10_P7_CAT_AED_PANO_JORGE_RAVELO.jpeg;;
Sin Título;Xxx - Muxe - Luis Fer- Hueso;Realismo - Ilustración;Aerosol;Calle 80 - Festival Muro De La Fama;Calle 80;https://idartesencasa.gov.co/sites/default/files/2024-01/13_CLL80_FAU_MURO_DE_LA_FAMA_PANO_CAT_FOTO_BAJA_JORGE_RAVELO.jpg;;
Coexistencia Pacífica;Lorraine, Zai, Gamin.Ers;Ilustración  Y Lettering;Aerosol Y Vinilo;Calle 80 - Maratón Costado Sur;Calle 80 Con Av Cali - Costado Sur Occidental Centro;https://idartesencasa.gov.co/sites/default/files/2023-09/16_CLL80_COSTADO_SUR_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
La Ofrenda;Tintas;Realismo;Aerosol Y Vinilo;Calle 80 - Maratón Costado Norte;Calle 80 Con Av. Ciudad De Cali - Costado Norte Oriental;https://idartesencasa.gov.co/sites/default/files/2023-09/13_CLL80_COSTADO_NORTE_CATALOGO_FOTO_BAJA_JORGE_RAVELO.jpeg;;
Chapinero Corazón De Bogotá;Wosnan;Ilustración;Aerosol;Carrera 13 - Punto 2;Carrera 13 - Chapinero;https://idartesencasa.gov.co/sites/default/files/2023-10/41_KRA13_P2_CATALOGO_FOTO_BAJA_DIEGO_ANDRADE.jpg;;
